DestinationTable,TargetColumn,Source Table,Source Column,is_alias_required,Mapping Type,Lookup Table,Lookup Field,Lookup Return column,Default Condition,join Type,Join alias,Comments
dim_customer,customer_key,,,TRUE,,,,,,,,
dim_customer,customer_id,CUSTOMER,CUST_ID,TRUE,Direct Mapping,,,,,,,
dim_customer,fk_bankemployeeid,CUSTOMER,FK_BANKEMPLOYEEID,TRUE,Direct Mapping,,,,,,,
dim_customer,created_emp_id,CUSTOMER,FK_CUST_BANKEMPID,TRUE,Direct Mapping,,,,,,,
dim_customer,created_emp_name,CUSTOMER,FK_CUST_BANKEMPID,FALSE,Lookup,BANKEMPLOYEE,ID,"NVL(t1.first_name, '') || ' ' || NVL(t1.last_name, '')",,inner,t1,
dim_customer,iapply_id,CUSTOMER,IAPPLY_ID,TRUE,Direct Mapping,,,,,,,
dim_customer,title,CUSTOMER,TITLE,TRUE,Direct Mapping,,,,,,,
dim_customer,first_name,CUSTOMER,FIRST_NAME,TRUE,Direct Mapping,,,,,,,
dim_customer,middle_name,CUSTOMER,MIDDLE_NAME,TRUE,Direct Mapping,,,,,,,
dim_customer,surname,CUSTOMER,SURNAME,TRUE,Direct Mapping,,,,,,,
dim_customer,full_name,CUSTOMER,"REGEXP_REPLACE(TRIM(NVL(t0.FIRST_NAME,'') || ' ' || NVL(t0.MIDDLE_NAME,'') || ' ' || NVL(t0.SURNAME,'')),' +',' ')",FALSE,Direct Mapping,,,,,,,
dim_customer,address,CUSTOMER,CUST_ID ,FALSE,Lookup,CUST_ADDRESS,FK_CUSTOMERCUST_ID,"TRIM(
        NVL(t2.address_1,'') || ' ' ||
        NVL(t2.address_2,'') || ' ' ||
        NVL(t2.address_3,'') || ' ' ||
        NVL(t2.address_4,'') || ' ' ||
        NVL(t2.address_5,'') || ' ' ||
        NVL(t2.address_6,'')
    ) ",communication_addr = 1,inner,t2,
dim_customer,primary_mobile_no,CUSTOMER,MOBILE_TEL,TRUE,Direct Mapping,,,,,,,
dim_customer,mobile_tel2,CUSTOMER,MOBILE_TEL2,TRUE,Direct Mapping,,,,,,,
dim_customer,city_of_birth,CUSTOMER,CITY_OF_BIRTH,TRUE,Direct Mapping,,,,,,,
dim_customer,date_of_birth,CUSTOMER,DATE_OF_BIRTH,TRUE,Direct Mapping,,,,,,,
dim_customer,sex,CUSTOMER,SEX,TRUE,Direct Mapping,,,,,,,
dim_customer,cust_status,CUSTOMER,CUST_STATUS,TRUE,Direct Mapping,,,,,,,
dim_customer,cust_open_date,CUSTOMER,CUST_OPEN_DATE,TRUE,Direct Mapping,,,,,,,
dim_customer,last_update,CUSTOMER,LAST_UPDATE,TRUE,Direct Mapping,,,,,,,
dim_customer,cust_type,CUSTOMER,CUST_TYPE,TRUE,Direct Mapping,,,,,,,
dim_customer,account_opening_date,CUSTOMER,CUSTOMER_BEGIN_DAT,TRUE,Direct Mapping,,,,,,,
dim_customer,e_mail,CUSTOMER,E_MAIL,TRUE,Direct Mapping,,,,,,,
dim_customer,employer,CUSTOMER,EMPLOYER,TRUE,Direct Mapping,,,,,,,
dim_customer,account_branch_number,CUSTOMER,FKUNIT_IS_MONITORE,TRUE,Direct Mapping,,,,,,,
dim_customer,account_branch_name,CUSTOMER,FKUNIT_IS_MONITORE,TRUE,lookup,unit,code,UNIT_NAME,,inner,t3,
dim_customer,kra_pin_status,CUSTOMER,NO_AFM,TRUE,Direct Mapping,,,,,,,
dim_customer,customer_segment,CUSTOMER,CUST_ID,FALSE,lookup,CUSTOMER_CATEGORY,FK_CUSTOMERCUST_ID,"CASE t4.FK_GENERIC_DETASER
    WHEN '1'  THEN 'INSTITUTIONAL BANKING'
    WHEN '2'  THEN 'PROJECT FINANCE'
    WHEN '3'  THEN 'SCHEME'
    WHEN '4'  THEN 'LARGE ENTERPRISES'
    WHEN '5'  THEN 'MEDIUM ENTERPRISES'
    WHEN '6'  THEN 'SMALL ENTERPRISES'
    WHEN '7'  THEN 'PRIVATE'
    WHEN '8'  THEN 'STANDARD'
    WHEN '9'  THEN 'MASS'
    WHEN '10' THEN 'VIRTUAL'
    WHEN '11' THEN 'INTERNAL ACCOUNTS'
END ",,inner,t4,
dim_customer,customer_id_no,CUSTOMER,CUST_ID,TRUE,Lookup,OTHER_ID,FK_CUSTOMERCUST_ID,ID_NO,main_flag =1,inner,t5,
dim_customer,issue_authority,CUSTOMER,CUST_ID,TRUE,Lookup,OTHER_ID,FK_CUSTOMERCUST_ID,ISSUE_AUTHORITY,main_flag =1,inner,t6,
dim_customer,c_digit,CUSTOMER,C_DIGIT,TRUE,Direct Mapping,,,,,,,
dim_customer,created_timestamp,CUSTOMER,TMSTAMP,TRUE,Direct Mapping,,,,,,,
dim_customer,CREATED_AT,,,TRUE,Derived / Calculated,,,,,,,
dim_customer,UPDATED_AT,,,TRUE,Derived / Calculated,,,,,,,
dim_customer_address,customer_address_key,,,TRUE,,,,,,,,
dim_customer_address,accomodation_date,CUST_ADDRESS,ACCOMODATION_DATE,TRUE,Direct Mapping,,,,,,,
dim_customer_address,address_1,CUST_ADDRESS,ADDRESS_1,TRUE,Direct Mapping,,,,,,,
dim_customer_address,address_2,CUST_ADDRESS,ADDRESS_2,TRUE,Direct Mapping,,,,,,,
dim_customer_address,address_3,CUST_ADDRESS,ADDRESS_3,TRUE,Direct Mapping,,,,,,,
dim_customer_address,address_4,CUST_ADDRESS,ADDRESS_4,TRUE,Direct Mapping,,,,,,,
dim_customer_address,address_5,CUST_ADDRESS,ADDRESS_5,TRUE,Direct Mapping,,,,,,,
dim_customer_address,address_6,CUST_ADDRESS,ADDRESS_6,TRUE,Direct Mapping,,,,,,,
dim_customer_address,address_type,CUST_ADDRESS,ADDRESS_TYPE,TRUE,Direct Mapping,,,,,,,
dim_customer_address,city,CUST_ADDRESS,CITY,TRUE,Direct Mapping,,,,,,,
dim_customer_address,communication_addr,CUST_ADDRESS,COMMUNICATION_ADDR,TRUE,Direct Mapping,,,,,,,
dim_customer_address,e_mail,CUST_ADDRESS,E_MAIL,TRUE,Direct Mapping,,,,,,,
dim_customer_address,entry_comments,CUST_ADDRESS,ENTRY_COMMENTS,TRUE,Direct Mapping,,,,,,,
dim_customer_address,entry_status,CUST_ADDRESS,ENTRY_STATUS,TRUE,Direct Mapping,,,,,,,
dim_customer_address,fax_no,CUST_ADDRESS,FAX_NO,TRUE,Direct Mapping,,,,,,,
dim_customer_address,fk_cust_addr_paco,CUST_ADDRESS,FK_CUST_ADDR_PACO,TRUE,Direct Mapping,,,,,,,
dim_customer_address,fk_cust_addr_pasn,CUST_ADDRESS,FK_CUST_ADDR_PASN,TRUE,Direct Mapping,,,,,,,
dim_customer_address,fk_customercust_id,CUST_ADDRESS,FK_CUSTOMERCUST_ID,TRUE,Direct Mapping,,,,,,,
dim_customer_address,fkgd_has_as_distri,CUST_ADDRESS,FKGD_HAS_AS_DISTRI,TRUE,Direct Mapping,,,,,,,
dim_customer_address,fkgd_has_country,CUST_ADDRESS,FKGD_HAS_COUNTRY,TRUE,Direct Mapping,,,,,,,
dim_customer_address,fkgh_has_as_distri,CUST_ADDRESS,FKGH_HAS_AS_DISTRI,TRUE,Direct Mapping,,,,,,,
dim_customer_address,fkgh_has_country,CUST_ADDRESS,FKGH_HAS_COUNTRY,TRUE,Direct Mapping,,,,,,,
dim_customer_address,internet_address,CUST_ADDRESS,INTERNET_ADDRESS,TRUE,Direct Mapping,,,,,,,
dim_customer_address,latin_ind,CUST_ADDRESS,LATIN_IND,TRUE,Direct Mapping,,,,,,,
dim_customer_address,mail_box,CUST_ADDRESS,MAIL_BOX,TRUE,Direct Mapping,,,,,,,
dim_customer_address,pts_ind,CUST_ADDRESS,PTS_IND,TRUE,Direct Mapping,,,,,,,
dim_customer_address,region,CUST_ADDRESS,REGION,TRUE,Direct Mapping,,,,,,,
dim_customer_address,segm_flags,CUST_ADDRESS,SEGM_FLAGS,TRUE,Direct Mapping,,,,,,,
dim_customer_address,serial_num,CUST_ADDRESS,SERIAL_NUM,TRUE,Direct Mapping,,,,,,,
dim_customer_address,telephone,CUST_ADDRESS,TELEPHONE,TRUE,Direct Mapping,,,,,,,
dim_customer_address,telephone_2,CUST_ADDRESS,TELEPHONE_2,TRUE,Direct Mapping,,,,,,,
dim_customer_address,telephone_3,CUST_ADDRESS,TELEPHONE_3,TRUE,Direct Mapping,,,,,,,
dim_customer_address,tmstamp,CUST_ADDRESS,TMSTAMP,TRUE,Direct Mapping,,,,,,,
dim_customer_address,zip_code,CUST_ADDRESS,ZIP_CODE,TRUE,Direct Mapping,,,,,,,
dim_customer_address,CREATED_AT,,,TRUE,Derived / Calculated,,,,,,,
dim_customer_address,UPDATED_AT,,,TRUE,Derived / Calculated,,,,,,,
dim_real_estate,real_estate_key,,,TRUE,,,,,,,,
dim_real_estate,real_estate_id,REAL_ESTATE,ID,TRUE,Direct Mapping,,,,,,,
dim_real_estate,real_estate_description,REAL_ESTATE,REAL_ESTATE_DESC,TRUE,Direct Mapping,,,,,,,
dim_real_estate,real_estate_type,REAL_ESTATE,REAL_ESTATE_TYPE,TRUE,Direct Mapping,,,,,,,
dim_real_estate,ownership_indicator,REAL_ESTATE,OWNERSHIP_IND,TRUE,Direct Mapping,,,,,,,
dim_real_estate,real_estate_category,REAL_ESTATE,REAL_ESTATE_CAT,TRUE,Direct Mapping,,,,,,,
dim_real_estate,main_area,REAL_ESTATE,MAIN_AREA,TRUE,Direct Mapping,,,,,,,
dim_real_estate,additional_area,REAL_ESTATE,ADDITIONAL_AREA,TRUE,Direct Mapping,,,,,,,
dim_real_estate,apartment_num,REAL_ESTATE,APARTMENT_NUM,TRUE,Direct Mapping,,,,,,,
dim_real_estate,construction_year,REAL_ESTATE,CONSTRUCTION_YEAR,TRUE,Direct Mapping,,,,,,,
dim_real_estate,frontage_ind,REAL_ESTATE,FRONTAGE_IND,TRUE,Direct Mapping,,,,,,,
dim_real_estate,insurance_descr,REAL_ESTATE,INSURANCE_DESCR,TRUE,Direct Mapping,,,,,,,
dim_real_estate,insurance_amount,REAL_ESTATE,INSURANCE_AMN,TRUE,Direct Mapping,,,,,,,
dim_real_estate,ins_original_amount,REAL_ESTATE,INS_ORIGINAL_AMN,TRUE,Direct Mapping,,,,,,,
dim_real_estate,agreement_value,REAL_ESTATE,AGREEMENT_VALUE,TRUE,Direct Mapping,,,,,,,
dim_real_estate,address_location,REAL_ESTATE,ADDRESS,TRUE,Direct Mapping,,,,,,,
dim_real_estate,address_num,REAL_ESTATE,ADDRESS_NUM,TRUE,Direct Mapping,,,,,,,
